Date,Region_Name,Area_Code,Detached_Average_Price,Detached_Index,Detached_Monthly_Change,Detached_Annual_Change,Semi_Detached_Average_Price,Semi_Detached_Index,Semi_Detached_Monthly_Change,Semi_Detached_Annual_Change,Terraced_Average_Price,Terraced_Index,Terraced_Monthly_Change,Terraced_Annual_Change,Flat_Average_Price,Flat_Index,Flat_Monthly_Change,Flat_Annual_Change
01/01/1995,Outer London,E13000002,160329.9602,22.3033023,,,94802.27143,21.06501733,,,70087.65516,20.04075173,,,58266.86811,21.76475099,,
01/01/1995,London,E12000007,161449.3055,21.71562172,,,95897.5293,20.321394,,,73705.96582,18.02319656,,,64618.57236,17.85834129,,
01/01/1995,Merton,E09000024,226809.0666,18.82907184,,,122714.0819,19.2161206,,,82592.36251,18.51760987,,,67201.31294,20.80193037,,
01/01/1995,Wandsworth,E09000032,244909.5811,16.18254854,,,160002.0824,15.30600447,,,109200.1437,14.66403222,,,80865.30146,16.97845887,,
01/02/1995,Outer London,E13000002,158421.6372,22.03783786,-1.190247276,,94962.94768,21.10071951,0.169485655,,70208.09588,20.07519035,0.171842984,,58156.97962,21.72370372,-0.188595152,
01/02/1995,London,E12000007,157449.4389,21.17762257,-2.477475215,,96084.273,20.36096636,0.194732546,,73756.54025,18.03556344,0.068616466,,60358.6725,16.68105211,-6.592376935,
01/02/1995,Wandsworth,E09000032,241357.7349,15.94785816,-1.450268355,,160343.5081,15.33866569,0.213388285,,109665.0607,14.72646398,0.425747609,,80761.9825,16.95676604,-0.127766743,
01/02/1995,Merton,E09000024,217899.5396,18.08942714,-3.928205857,,119745.3837,18.75124436,-2.419199229,,80737.72386,18.10179086,-2.245532868,,65184.18364,20.17753509,-3.001621856,
01/03/1995,Outer London,E13000002,157311.6827,21.88343345,-0.700633177,,94634.43047,21.02772315,-0.345942516,,70130.0539,20.05287516,-0.11115809,,57904.89763,21.62954212,-0.433450972,
01/03/1995,London,E12000007,156089.8286,20.99474916,-0.863521894,,94980.81918,20.12713636,-1.148422932,,73571.21616,17.99024645,-0.251264619,,64185.60423,17.73868385,6.34031793,
01/03/1995,Wandsworth,E09000032,235931.4196,15.5893111,-2.248245887,,157369.2632,15.05414562,-1.854920653,,107797.1098,14.47562464,-1.703323649,,79430.46026,16.67719996,-1.648699304,
01/03/1995,Merton,E09000024,219076.3874,18.18712584,0.540087302,,120696.992,18.9002592,0.79469309,,81470.94223,18.26618199,0.908148418,,65739.45296,20.34941675,0.851846707,
01/04/1995,Outer London,E13000002,155855.1392,21.68081549,-0.925896581,,94434.43074,20.98328331,-0.211339284,,70139.84905,20.05567597,0.013967127,,57843.24193,21.60651152,-0.106477509,
01/04/1995,London,E12000007,156932.1372,21.10804328,0.539630698,,95192.55112,20.17200392,0.222920738,,73989.76915,18.09259452,0.568908626,,65098.79531,17.99105832,1.422735031,
01/04/1995,Wandsworth,E09000032,232662.6058,15.37332225,-1.385493204,,156736.4122,14.99360628,-0.402143977,,107749.4017,14.46921811,-0.044257338,,79410.0454,16.67291366,-0.025701547,
01/04/1995,Merton,E09000024,215573.2703,17.89630659,-1.599039063,,119571.0322,18.7239422,-0.932881411,,80879.59935,18.13360003,-0.725832871,,65228.28994,20.19118803,-0.777558991,
01/05/1995,Outer London,E13000002,156242.3946,21.73468612,0.248471406,,94565.29742,21.01236182,0.13857941,,70304.02062,20.10261892,0.23406319,,58027.20818,21.67522946,0.318042757,
01/05/1995,London,E12000007,158778.427,21.35637714,1.176489267,,96726.66842,20.49709469,1.611593852,,75063.48208,18.35514774,1.45116405,,65717.66161,18.16209159,0.950657078,
01/05/1995,Merton,E09000024,219215.9453,18.19871156,1.689761904,,120869.86,18.92732906,1.086239534,,81704.30313,18.31850264,1.019668488,,65996.75663,20.4290642,1.178118725,
01/05/1995,Wandsworth,E09000032,231676.1736,15.30814315,-0.423975403,,155840.8899,14.90793947,-0.57135561,,107167.5353,14.3910817,-0.540018239,,78905.09994,16.56689544,-0.635871016,
01/06/1995,Outer London,E13000002,156994.757,21.83934632,0.481535376,,95065.08045,21.12341336,0.528505743,,70616.13932,20.19186564,0.443955685,,58643.58126,21.90546677,1.062213927,
01/06/1995,London,E12000007,158321.6343,21.29493658,-0.287691879,,96550.65567,20.45979629,-0.181969206,,74684.29444,18.26242562,-0.505155945,,66734.5327,18.44311963,1.547333031,
01/06/1995,Merton,E09000024,218035.2416,18.10069274,-0.538603056,,120592.1905,18.88384805,-0.229726051,,81412.34485,18.25304417,-0.357335255,,66119.25783,20.46698402,0.185616989,
01/06/1995,Wandsworth,E09000032,234834.1676,15.51680951,1.363106961,,158435.5524,15.15614821,1.664943327,,108974.9792,14.6337958,1.686559156,,80531.85321,16.90844815,2.061657951,
01/07/1995,Outer London,E13000002,158507.7598,22.04981826,0.963728216,,95774.27339,21.28099568,0.746007834,,71091.56129,20.32780704,0.673248316,,58832.01821,21.97585468,0.32132579,
01/07/1995,London,E12000007,161896.3449,21.77575044,2.25787881,,97608.62907,20.68398866,1.095770291,,75762.62023,18.52610682,1.443845454,,65789.774,18.18202096,-1.415696878,
01/07/1995,Wandsworth,E09000032,241259.5466,15.94137031,2.736134609,,162064.0793,15.50325775,2.290222645,,111490.5075,14.97159562,2.308354037,,81738.53516,17.1618028,1.498390892,
01/07/1995,Merton,E09000024,219851.3656,18.25146242,0.832949758,,121275.4338,18.99083892,0.566573456,,81891.34842,18.3604391,0.588367239,,66051.36786,20.44596891,-0.102678058,
01/08/1995,Outer London,E13000002,159209.7027,22.14746467,0.442844498,,95909.72287,21.31109248,0.141425741,,71129.60915,20.33868638,0.05351953,,58624.92988,21.89849982,-0.351999369,
01/08/1995,London,E12000007,160990.9663,21.65397314,-0.559233524,,97063.98742,20.56857508,-0.557985146,,75103.49071,18.36493098,-0.869993041,,65588.05987,18.12627415,-0.306604079,
01/08/1995,Merton,E09000024,218983.5861,18.17942173,-0.394711906,,120898.8279,18.9318652,-0.310537719,,81733.21377,18.32498454,-0.193102998,,65619.66665,20.31233732,-0.653584053,
01/08/1995,Wandsworth,E09000032,244436.909,16.15131645,1.316989301,,163458.8413,15.63668247,0.860623759,,112574.6671,15.11718289,0.972423228,,82250.81151,17.26936022,0.626725635,
01/09/1995,Outer London,E13000002,159614.146,22.20372628,0.25403183,,95686.55051,21.2615037,-0.232690028,,70927.13963,20.28079257,-0.284648719,,58160.32411,21.72495301,-0.792505457,
01/09/1995,London,E12000007,159828.9245,21.49767355,-0.721805609,,96134.85392,20.37168483,-0.957238129,,74632.34243,18.24972188,-0.627332066,,65034.65268,17.97333152,-0.843762097,
01/09/1995,Merton,E09000024,221230.041,18.3659163,1.025855392,,121053.8563,18.95614152,0.128229929,,81890.31255,18.36020686,0.192209229,,65282.53117,20.20797822,-0.513772013,
01/09/1995,Wandsworth,E09000032,248947.3603,16.44934724,1.845241503,,165509.7637,15.83287634,1.25470267,,113930.1906,15.2992105,1.204110613,,82641.60069,17.35141022,0.47511893,
01/10/1995,Outer London,E13000002,159179.8934,22.14331794,-0.272063983,,95184.9658,21.15005183,-0.524195619,,70208.16932,20.07521135,-1.013674486,,57950.13856,21.64644122,-0.361389929,
01/10/1995,London,E12000007,160267.8897,21.55671625,0.274646938,,95893.77799,20.32059907,-0.250768501,,73292.34829,17.92205536,-1.795460373,,64792.5007,17.90640907,-0.372343011,
01/10/1995,Wandsworth,E09000032,246469.4396,16.28561714,-0.995359274,,163645.6582,15.65455361,-1.126281321,,112054.3837,15.0473162,-1.646452905,,81898.31939,17.19535106,-0.899403324,
01/10/1995,Merton,E09000024,219177.431,18.19551421,-0.927817004,,119355.3314,18.69016503,-1.403115124,,80306.82389,18.00518099,-1.933670309,,64583.51419,19.99159997,-1.070756554,
01/11/1995,Outer London,E13000002,158023.4221,21.98244264,-0.726518482,,94613.0629,21.02297529,-0.600833229,,69765.76418,19.94871074,-0.630133419,,58018.48695,21.67197178,0.117943451,
01/11/1995,London,E12000007,157177.4444,21.14103814,-1.928299762,,95155.08993,20.16406562,-0.770319074,,73135.76313,17.88376585,-0.213644628,,65080.87055,17.98610454,0.445066707,
01/11/1995,Wandsworth,E09000032,242781.4091,16.04192829,-1.496343968,,161689.1003,15.46738677,-1.195606347,,110579.0408,14.84919856,-1.316631108,,81640.16954,17.14114998,-0.315207746,
01/11/1995,Merton,E09000024,219453.5854,18.21843979,0.125995811,,119815.2124,18.76217901,0.385304145,,80365.49356,18.01833501,0.073056886,,65410.28438,20.24752377,1.280156713,
01/12/1995,Outer London,E13000002,157734.4973,21.94225068,-0.18283666,,94791.84705,21.06270104,0.188963498,,69748.11236,19.94366341,-0.025301541,,58190.55783,21.73624638,0.296579389,
01/12/1995,London,E12000007,158799.3877,21.35919645,1.031918604,,96432.71905,20.43480465,1.342680798,,74253.55369,18.15709731,1.528377519,,66028.52251,18.2480028,1.456114451,
01/12/1995,Wandsworth,E09000032,238903.29,15.78567923,-1.597370668,,159680.1598,15.27520895,-1.242471218,,109167.2026,14.65960869,-1.276768361,,80897.36338,16.98519058,-0.909853768,
01/12/1995,Merton,E09000024,217963.8552,18.09476644,-0.678836124,,119332.4247,18.68657801,-0.402943631,,79921.88162,17.91887505,-0.551993048,,65344.37797,20.22712268,-0.100758487,
01/01/1996,Outer London,E13000002,157527.474,21.91345192,-0.131247951,-1.747949147,94865.32141,21.079027,0.077511266,0.066506828,69981.73406,20.01046482,0.334950563,-0.151126612,58182.34791,21.73317968,-0.014108668,-0.145057043
01/01/1996,London,E12000007,159926.3436,21.51077684,0.709672729,-0.943306531,96393.42718,20.42647842,-0.040745365,0.517112262,74754.02748,18.27947733,0.67400652,1.421949573,65869.8277,18.20414504,-0.240342819,1.936371068
01/01/1996,Wandsworth,E09000032,238835.7807,15.78121851,-0.028258038,-2.480017488,160439.2024,15.34781994,0.475351887,0.273196481,110110.4936,14.78627931,0.864079135,0.83365262,81412.85256,17.09342256,0.637213818,0.677115008
01/01/1996,Merton,E09000024,220676.4511,18.31995877,1.244516359,-2.70386704,121799.4237,19.07289187,2.067333382,-0.745357127,81810.0206,18.34220501,2.362480645,-0.94723275,66595.36564,20.61436152,1.914453409,-0.901689676
01/02/1996,Outer London,E13000002,158171.6935,22.00306849,0.408956893,-0.157771205,95497.5167,21.21950048,0.666413472,0.562923781,70284.09919,20.09692262,0.43206293,0.108254344,58299.60314,21.77697869,0.201530589,0.245238872
01/02/1996,London,E12000007,159661.8317,21.47519885,-0.165396117,1.405144876,97497.58107,20.66045677,1.145465952,1.470904683,75121.87021,18.36942529,0.492070781,1.851130706,66991.54795,18.51414977,1.702934856,10.98910095
01/02/1996,Wandsworth,E09000032,237891.5425,15.71882741,-0.395350359,-1.436122362,160758.7434,15.37838764,0.199166404,0.258966113,110327.3249,14.81539667,0.196921519,0.603897094,81248.36706,17.05888723,-0.202038733,0.602244452
01/02/1996,Merton,E09000024,218048.7861,18.10181718,-1.190731904,0.068493277,120636.8496,18.89084134,-0.954498846,0.74446784,81084.19588,18.17947157,-0.887207603,0.429132752,65752.29424,20.35339173,-1.265961065,0.871546692
01/03/1996,Outer London,E13000002,158841.9726,22.0963102,0.42376682,0.9727758,95619.83569,21.2466797,0.128086052,1.04127559,70402.50385,20.13077906,0.168465784,0.388492431,58265.09719,21.76408949,-0.059187275,0.622053717
